Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,GK
O. Jansson,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,51.4
T. Renault,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.8
S. Pouplin,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
G. Herrera,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
Unai Simón,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.0
A. Kann,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
W. van der Steen,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
L. Koopmans,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
I. Provedel,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
B. Shuttleworth,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
Marco Pinto,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
L. McCormick,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,
R. Köse,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
C. Seitz,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
S. Fox,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
N. Ramos,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.6
J. Mabokgwane,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
Lee Chang Geun,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
Sivera,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.2
P. Šteinbors,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.8
L. Nienhuis,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
A. Al Qarni,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.8
D. Da Costa,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
Cho Soo Hyuk,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
B. Knighton,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.0
A. Lonergan,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.0
D. Forde,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.0
B. Rowe,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
Cristian Rivero,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.6
J. Szmatuła,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
S. Mielitz,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,25.6
S. Taylor,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.4
D. Ovono,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.4
Y. Thoelen,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
A. Stolz,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
I. Villaseñor,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
João Costa,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.2
J. Saunders,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.4
Kim Jin Young,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
R. Wolf,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.4
L. Badiashile,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.8
D. Léon,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
N. Alblas,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
C. Giraldo,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
P. Sisniega,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.6
S. Eastwood,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
C. Cropper,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
E. Reséndez,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.0
Y. Marillat,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
K. Broll,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.8
A. Cajtoft,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
H. Iikura,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
D. Martin,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.4
J. Brinkies,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
V. Janjetović,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
T. Černý,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
M. Kobras,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.8
P. Heerwagen,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
G. Shelia,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
K. Kunz,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.4
N. Ravaglia,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
J. Hartock,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
C. Stanković,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
A. Pomini,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
M. Gspurning,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.6
F. Canales,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
A. Leitner,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
A. Solosin,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
Bernabé,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
A. Al Kassar,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
S. Brown,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
M. Caranta,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.6
Hong Jung Nam,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
L. Nicholls,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
A. Tarbell,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
J. Attinella,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
L. Butrón,40,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.8
A. Maisonnial,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.0
J. Posavec,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.2
L. Thomas,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
M. Prévot,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.4
T. Coremans,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
J. Placide,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.4
Y. Thuram,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
M. Zappino,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.0
N. Lomb,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
J. McLaughlin,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
A. Blanco,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.4
L. Lezzerini,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
O. Sissoko,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
G. Viscarra,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
F. Ondoa,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.0
E. Bush,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,52.8
G. Long,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
M. Goblet,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
R. Cierzniak,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.2
A. Hayashi,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
A. Donnarumma,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
H. Yılmaz,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.0
P. Pervan,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
M. Jeannin,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
David Raya,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.8
J. Willis,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
Fernando,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
N. Avellaneda,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
H. Koffi,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.6
S. Şahin-Radlinger,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
D. Lopar,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
F. Coppola,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.2
J. Chunga,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
C. Früchtl,17,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.2
H. Zeinstra,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
No Dong Geon,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
Palatsí,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
E. Bugge Pettersen,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,62.6
Óscar Whalley,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
J. Martínez,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
Carlos Henriques,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
P. Pentke,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
B. Bellot,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
F. Kurto,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.8
L. Bailly,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
M. Schulze Niehues,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.4
A. Al Enezi,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
Peter Abradanel,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
T. Acar,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
N. Körber,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.2
P. Dahlberg,18,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.6
E. Alfonso,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.2
Soriano,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.6
G. Marinelli,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
P. Wiegers,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
W. Mosquera,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.0
A. Filtsov,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
Dani Sotres,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
T. Knoflach,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
Assis,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
C. Vargas,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.4
T. Hayashi,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.4
J. Steer,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
A. Keita,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
G. Kobel,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.2
Ham Seok Min,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
M. Solís,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.0
G. Marchegiani,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.4
J. McCarthy,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
G. Allison,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
D. Novoa,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
L. Zingerle,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.6
José Perales,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
M. Jiménez,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
B. Samba,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.6
Yoo Hyun,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.2
D. Petković,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
J. Coppens,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
C. Källqvist,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.0
H. Shaian,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.6
A. Doukha,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
F. Crivelli,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.6
S. Moore,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.0
B. Geens,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,62.8
Ezkieta,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.6
F. Lanzillotta,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
A. Collin,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.4
T. Morita,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
I. Radu,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.8
S. López,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,61.8
A. Poggenborg,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,61.8
J. Lillis,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
E. Palos,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,61.6
Pedro Silva,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,62.4
D. Khomich,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
G. Montoya,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.2
M. Castro,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.8
V. Demarconnay,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.0
R. Allsop,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
A. Aguilar,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.6
A. Østbø,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
M. Giordano,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
S. Supple,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
D. Arapov,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
T. Nocchi,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,61.2
J. Słowik,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.2
Kim Yong Dae,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
O. Marciano,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.2
C. Bell,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
J. Fabri,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.4
J. Rask,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.4
C. Gratzei,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.0
A. Al Owayshir,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.6
F. Oyerze,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
K. Otani,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
M. Falkesgaard,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
A. Cisak,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.4
Rui Vieira,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
Janota,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.6
P. Frattali,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.2
J. Glinker,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,60.2
R. O'Donnell,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
J. Ayala,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.0
S. Mpontshane,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.6
S. Arai,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
T. Mickel,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
Álex Craninx,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.8
A. Fernández,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
I. Groothuizen,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.2
E. Birniçan,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
S. Bain,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
C. Walton,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.8
A. Ježina,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.6
Jhonatan,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
A. Legzdins,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
M. Marić,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.4
M. Howard,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.6
C. Logan,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.8
N. Olij,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.6
P. Santillo,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.4
P. Terracciano,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,61.2
A. Damen,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
I. Austbø,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.0
T. Loska,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.0
M. Theo,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,62.6
R. Meara,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
E. Kobozev,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.6
C. Merville,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
Y. Rokutan,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.4
M. Gostomski,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.2
J. Houwen,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.8
D. Trela,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.6
O. Söderberg,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.4
K. Kawata,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.2
Luís Ribeiro,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,61.8
J. Wildsmith,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.0
J. Haugaard,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.2
N. Kato,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,62.6
T. Berni,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,62.6
F. Torgnascioli,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
O. Schnitzler,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,63.0
I. Pettersson,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.4
J. Young,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,62.4
Ricardo Moura,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
B. Roche,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.6
R. Sánchez,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
G. Woods,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
B. Alnwick,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.6
A. Jaakkola,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
J. Bond,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.6
Ricardo Fernandes,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.8
M. Levashov,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,61.8
D. Albil,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.6
R. Koczor,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.0
A. Fulignati,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
Alfonso Herrero,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.8
A. Smith,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.0
L. Daniels,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.0
N. Jackers,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,62.6
D. Rusov,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
S. Walker,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.4
S. Minelli,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,61.6
L. Sánchez,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.0
J. Hamilton,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.8
L. McGee,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,62.8
I. Lawlor,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.8
E. Baburin,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.2
T. Zwarthoed,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.0
Landeta,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.0
R. Rúnarsson,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
A. Noppert,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,62.8
K. Pilarz,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,63.0
